rank,name,city
1,University of Delhi,New Delhi
2,Indian Institute of Technology Bombay,Mumbai
3,Indian Institute of Technology Kanpur,Kanpur
4,Indian Institute of Technology Madras,Chennai
5,Indian Institute of Technology Delhi,New Delhi
6,Indian Institute of Technology Kharagpur,Kharagpur
7,Indian Institute of Science,Bangalore
8,Jawaharlal Nehru University,New Delhi
9,Savitribai Phule Pune University,Pune
10,Vellore Institute of Technology,Vellore ...
11,Manipal Academy of Higher Education,Manipal ...
12,Amrita Vishwa Vidyapeetham,Coimbatore ...
13,Narendra Dev University of Agriculture and Technology,Faizabad
14,Amity University,Noida ...
15,"International Institute of Information Technology, Hyderabad",Hyderabad
16,Narsee Monjee Institute of Management and Higher Studies,Mumbai
17,Birla Institute of Technology and Science,Pilani ...
18,Anna University,Chennai
19,Lovely Professional University,Phagwara
20,All India Institute of Medical Sciences Delhi,New Delhi
21,SRM Institute of Science and Technology,Chennai ...
22,Tata Institute of Fundamental Research,Mumbai
23,University of Mumbai,Mumbai
24,Indian Institute of Technology Guwahati,Guwahati
25,Tata Institute of Social Sciences,Mumbai
26,Chandigarh University,Mohali ...
27,University of Lucknow,Lucknow
28,Jamia Millia Islamia,New Delhi
29,Tamil Nadu Agricultural University,Coimbatore ...
30,Indian Statistical Institute,Kolkata ...
31,National Institute of Mental Health and Neuro Sciences,Bangalore
32,Indian Institute of Technology Roorkee,Roorkee
33,Banaras Hindu University,Varanasi
34,Panjab University,Chandigarh
35,Bangalore University,Bangalore
36,Christ University,Bangalore
37,University of Madras,Chennai
38,National Institute of Design,Ahmedabad ...
39,Osmania University,Hyderabad
40,Dr. A.P.J. Abdul Kalam Technical University,Lucknow
41,Aligarh Muslim University,Aligarh ...
42,Baba Ghulam Shah Badhshah University,Rajouri
43,Gujarat Technological University,Ahmedabad
44,National Institute of Fashion Technology,New Delhi ...
45,Guru Gobind Singh Indraprastha University,New Delhi
46,Kurukshetra University,Kurukshetra ...
47,Visvesvaraya Technological University,Belgaum
48,CSK Himachal Pradesh Krishi Vishvavidyalaya,Palampur
49,Cochin University of Science and Technology,Kochi
50,University of Calcutta,Kolkata
51,Chaudhary Charan Singh Haryana Agricultural University,Hisar
52,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli
53,"National Institute of Technology, Rourkela",Rourkela
54,Indian Institute of Technology Gandhinagar,Chandkheda
55,Indian Institute of Technology Hyderabad,Eddumailaram
56,University of Petroleum and Energy Studies,Dehradun
57,Gandhi Institute of Technology and Management,Visakhapatnam
58,"Chitkara University, Punjab",Punjab
59,University of Allahabad,Allahabad
60,The Maharaja Sayajirao University of Baroda,Vadodara
61,University of Hyderabad,Hyderabad
62,University of Rajasthan,Jaipur
63,University of Mysore,Mysore ...
64,"University of Engineering and Management, Kolkata",Kolkata
65,Sharda University,Greater Noida
66,Gulbarga University,Gulbarga
67,"Maulana Abul Kalam Azad University of Technology, West Bengal",Kolkata
68,Chhatrapati Shahu Ji Maharaj University,Kalyanpur
69,Birla Institute of Technology,Ranchi ...
70,Jadavpur University,Kolkata
71,University of Kerala,Thiruvananthapuram
72,"National Institute of Technology, Silchar",Silchar
73,Nirma University,Ahmedabad
74,KIIT University,Bhubaneswar
75,Tamil Nadu Veterinary and Animal Sciences University,Chennai ...
76,SASTRA University,Thanjavur ...
77,Jawaharlal Nehru Technological University,Hyderabad ...
78,International Institute of Information Technology Bangalore,Bangalore
79,Mahatma Gandhi University,Kottayam
80,Post Graduate Institute of Medical Education and Research,Chandigarh
81,"National Institute of Technology, Calicut",Calicut
82,"National Institute of Technology, Karnataka",Mangalore
83,Chennai Mathematical Institute,Chennai
84,Indian Maritime University,Chennai
85,Gauhati University,Guwahati
86,Thapar Institute of Engineering and Technology,Patiala
87,Indian Institute of Information Technology Allahabad,Allahabad
88,Madurai Kamaraj University,Madurai
89,National Law School of India University,Bangalore
