rank,name,city,state
1,Indian Institute of Management,Ahmedabad,Gujarat
1,Indian Institute of Management,Calcutta,West Bengal,
1,Indian Institute of Management,Bangalore,Karnataka,
2,FMS, University of Delhi,Delhi,Delhi
2,Indian School of Business (ISB),Hyderabad,Telangana,
2,IIFT,New Delhi,Delhi,
2,Indian Institute of Management,Lucknow,Uttar Pradesh,
2,XLRI,Jamshedpur,Jharkhand,
3,Management Development Institute,Gurgaon,Haryana
3,S P Jain,Mumbai,Maharashtra,
3,Indian Institute of Management,Indore,Madhya Pradesh,
3,Indian Institute of Management,Kozhikode,Kerala,
3,Jamnalal Bajaj Institute ofManagement Studies,Mumbai,Maharashtra,
4,IIT Bombay,Mumbai,Maharashtra
4,IIT-Delhi,New Delhi,Delhi,
4,IIT Kharagpur,Kharagpur,West Bengal,
4,SCMHRD,Pune,Maharashtra,
4,MICA,Ahmedabad,Gujarat,
5,Indian Institute of Management,Rohtak,Haryana
5,Indian Institute of Management,Raipur,Chattishgarh,
5,Indian Institute of Management,Ranchi,Jharkhand,
5,Indian Institute of Management,Trichy,Tamil Nadu,
5,Indian Institute of Management,Udaipur,Rajasthan,
6,NMIMS School of Business Management,Mumbai,Maharashtra
6,Indian Institute of Management,Shillong,Meghalaya,
6,Institute of Management Technology (IMT),Ghaziabad,Uttar Pradesh,
6,International Management Institute (IMI),New Delhi,Delhi,
6,Indian Institute of Management,Visakhapatnam,Andhra Pradesh,
6,Indian Institute of Management,Kashipur,Uttarakhand,
6,Indian Institute of Management,Nagpur,Maharashtra,
7,UBS, Punjab University,Chandigarh,Chadigarh
7,Department of Business Economics, DU,Delhi,Delhi,
7,FORE School of Management,New Delhi,Delhi,
7,MHRM, IIT-Kharagpur,Kharagpur,West Bengal,
7,SIMSREE,Mumbai,Maharashtra,
7,IIT-Kharagpur,Kharagpur,West Bengal,
8,IIT-Roorkee,Roorkee,Uttarakhand
8,Indian Institute of Management,Sambalpur,Himachal Pradesh,
9,GOA Institute of Management (GIM),Goa,Goa
9,Indian Institute of Management,Jammu,Jammu,
9,Indian Institute of Management,Sirmaur,Himachal Pradesh,
10,TAXILA BUSINESS SCHOOL,Jaipur,Rajasthan
10,Lal Bahadur Shastri Institute of Management,New Delhi,Delhi,
10,Great Lakes Institute of Management,Chennai,Tamil Nadu,
10,Indian Institute of Management,Bodh Gaya,Bihar,
11,BIMTECH,Greater Noida,Uttar Pradesh
11,Indian Institute of Management,Amritsar,Punjab,
11,WOXSEN School of Business,Hyderabad,Telangana,
11,LIBA,Chennai,Tamil Nadu,
12,NITIE,Mumbai,Maharashtra
12,Jaipuria Institute of Management,Noida,Uttar Pradesh,
12,Symbiosis Centre for Information Technology,Pune,Maharashtra,
13,Institute of Management Studies, BHU,Varanasi,Uttar Pradesh
13,JIMS,Rohini, Delhi,Delhi,
14,Department of Management Studies, IIT-ISM,Dhanbad,Jharkhand
15,IISWBM,Kolkata,West Bengal
16,School of Management, Manipal University,Manipal,Karnataka
17,Institute of Management, Nirma University,Ahmedabad,Gujarat
18,ABV-IIITM,Gwalior,Madhya Pradesh
19,IMED,Pune,Maharashtra
20,Institute of Management Studies (IMS),Ghaziabad,Uttar Pradesh
21,Institute of Rural Management, Anand,Anand,Gujarat
22,Shiv Nadar University,Dadri,Uttar Pradesh
22,Jindal Global Business School,Sonipat,Haryana,
22,School of Management, KIIT University,Bhubaneswar,Odisha,
22,AIMS Institutes,Bengaluru,Karnataka,
22,BVIMR,New Delhi,Delhi,
23,ABBS School of Management,Bengaluru,Karnataka
23,AMRITA School of Business,Coimbatore,Tamil Nadu,
24,Jaipuria School of Business,Ghaziabad,Uttar Pradesh
24,AMITY Business School,Noida,Uttar Pradesh,
25,VIT Business School,Vellore,Tamil Nadu
