rank,name,city,state,score,id
1,All India Institute of Medical Sciences,New Delhi,Delhi,92.07,IR-D-N-15
2,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,82.62,IR-D-U-0079
3,Christian Medical College,Vellore,Tamil Nadu,75.33,IR-D-C-45654
4,National Institute of Mental Health & Neuro Sciences,Bangalore,Karnataka,73.62,IR-D-U-0236
5,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,72.45,IR-D-N-33
6,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,69.25,IR-D-U-0436
7,Banaras Hindu University,Varanasi,Uttar Pradesh,67.62,IR-D-U-0500
8,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,67.42,IR-D-U-0368
9,King George`s Medical University,Lucknow,Uttar Pradesh,64.67,IR-D-U-0523
10,Kasturba Medical College,Manipal,Manipal,Karnataka,63.60,IR-D-C-7242
11,Sree Chitra Tirunal Institute for Medical Sciences and Technology,Thiruvananthapuram,Kerala,63.04,IR-D-U-0266
12,Institute of Liver and Biliary Sciences,New Delhi,Delhi,61.29,IR-D-U-0106
13,St. John's Medical College,Bengaluru,Karnataka,60.83,IR-D-C-40453
14,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,58.92,IR-D-I-1486
15,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.10,IR-D-U-0496
16,Madras Medical College & Government General Hospital,Chennai,Chennai,Tamil Nadu,57.88,IR-D-C-49008
17,Maulana Azad Medical College,Delhi,Delhi,56.35,IR-D-C-6414
18,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,56.20,IR-D-C-32922
19,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,55.96,IR-D-I-1110
20,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,55.74,IR-D-U-0473
21,Siksha `O` Anusandhan,Bhubaneswar,Odisha,54.13,IR-D-U-0363
22,Lady Hardinge Medical College,New Delhi,Delhi,54.07,IR-D-C-22461
23,Kasturba Medical College,Mangalore,Mangaluru,Karnataka,53.75,IR-D-C-7251
24,JSS Medical College,Mysore,Mysore,Karnataka,53.63,IR-D-C-35009
25,Jamia Hamdard,New Delhi,Delhi,53.18,IR-D-U-0107
26,Dayanand Medical College,Ludhiana,Punjab,53.13,IR-D-C-29255
27,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.91,IR-D-I-1441
28,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,52.87,IR-D-U-0689
29,Government Medical College & Hospital,Chandigarh,Chandigarh,51.90,IR-D-C-29442
30,University College of Medical Sciences,Delhi,Delhi,51.89,IR-D-I-1409
31,All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,51.87,IR-D-U-0688
32,Medical College,Kolkata,West Bengal,51.69,IR-D-C-16424
33,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu,51.62,IR-D-C-45515
34,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,51.52,IR-D-U-0295
35,Maharishi Markandeshwar,Ambala,Haryana,50.96,IR-D-U-0168
36,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50.36,IR-D-U-0356
37,M. S. Ramaiah Medical College,Bengaluru,Karnataka,50.05,IR-D-C-40345
38,Sawai Man Singh Medical College,Jaipur,Rajasthan,49.65,IR-D-N-17
39,SCB Medical College and Hospital,Cuttack,Odisha,49.42,IR-D-N-0158
40,Annamalai University,Annamalainagar,Tamil Nadu,49.13,IR-D-U-0443
